id_plant,date,ID_trt,block,plant,n_trt,drought,tmp,VPD,DAD,Cumul_FC,Cumul_N,Cumul_DD,time,machine,anet_420,ci_420,gs_420,vpd_leaf,temperature_leaf,vcmax_tleaf,vcmax_tleaf_se,jmax_tleaf,jmax_tleaf_se,rd_tleaf,rd_tleaf_se,TPU,TPU_se,aci_RMSE,aci_ci_transistion,aci_ci_transition_set,aci_km,aci_gammastar,aci_fitmethod,aci_tcorrect,aci_fittpu,deltaC13,percentage_C,percentage_N,total_leaves,stem,rep_org,senescence,roots,transpiration
b1_hn_ww_p7,12-Jun,B1,6,7,HN,WW,29.16,1.95,17,16.7295082,1050,0,t2,gibson,33.68621587,273.6612864,0.644506871,1.488651664,24.98566642,159.0890314,2.835348796,268.6672317,NA,5.743585065,0.483907522,13.07766019,NA,17.01540244,279.6777242,NA,709.4423849,42.71865091,bilinear,FALSE,TRUE,-31.13,44.31986309,3.398526972,,,,,,
b1_hn_ww_p8,12-Jun,B1,6,8,HN,WW,29.16,1.95,17,16.72131148,1050,0,t2,gibson,43.499439,271.4284816,0.940974346,1.361695134,25.00357657,202.3543912,7.82932023,349.2629583,NA,5.632249546,1.301949833,16.42602105,NA,22.09433149,256.0223565,NA,710.9618448,42.76554784,bilinear,FALSE,TRUE,-29.89,44.52306588,3.467874067,,,,,,
b5_hn_spd_p1,12-Jun,B5,1,1,HN,SPD,29.16,1.95,17,11.21311475,1050,6.541639344,t2,gibson,36.07682917,284.6997301,0.843564151,1.507052451,25.01135531,158.7732846,0.87836787,267.1269762,NA,4.615690363,0.128513189,15.70238521,NA,9.103861961,278.8981817,NA,711.0179857,42.77487678,bilinear,FALSE,TRUE,-30.37,41.10575995,3.137129554,,,,,,
b5_hn_spd_p2,12-Jun,B5,1,2,HN,SPD,29.16,1.95,17,11.57377049,1050,6.197377049,t2,gibson,38.91441115,275.4873482,0.847403585,1.515996067,25.01220857,174.3108437,1.382180786,289.082385,NA,4.282183697,0.211012529,13.91000894,NA,11.79253912,261.663439,NA,711.0938372,42.77717589,bilinear,FALSE,TRUE,-29.89,41.30764863,2.891399833,,,,,,
b5_hn_spd_p3,12-Jun,B5,1,3,HN,SPD,29.16,1.95,17,11.19672131,1050,6.607213115,t2,gibson,31.49998122,289.37035,0.710881697,1.500900295,24.99566376,133.9403862,1.579066484,237.8999424,NA,3.556037144,0.315874342,12.35908907,NA,7.78198068,325.2792179,NA,710.0556011,42.74053307,bilinear,FALSE,TRUE,-30.5,41.89805625,2.670361792,,,,,,
b5_hn_spd_p4,12-Jun,B5,1,4,HN,SPD,29.16,1.95,17,11.78688525,1050,5.902295082,t2,gibson,36.27615543,287.3329919,0.895958288,1.519827012,25.03165758,156.8015726,1.608469728,266.3474015,NA,5.053567941,0.220414616,NA,NA,19.54559457,285.4108289,NA,712.269286,42.81942429,bilinear,FALSE,TRUE,-30.65,43.71646204,3.404803011,,,,,,
b5_hn_spd_p5,19-Jun,B5,1,5,HN,SPD,29.16,1.95,24,17.72131148,1260,5.802295082,t2,stan,34.64818669,287.4822369,0.830065145,1.536491516,25.01399648,149.3133536,1.284144476,265.4267833,NA,2.161627276,0.251383602,15.55416488,NA,3.681591173,313.546583,NA,711.1789872,42.78063937,bilinear,FALSE,TRUE,-32.26,38.80882064,4.497921272,,,,,,
b5_hn_spd_p6,12-Jun,B5,1,6,HN,SPD,29.16,1.95,17,11.06557377,1050,6.689180328,t2,gibson,35.20708135,293.2908605,0.937747421,1.508697759,25.00473175,148.8515756,1.49593454,249.5430141,NA,4.248789004,0.224112082,13.5151836,NA,18.47843895,283.9490109,NA,710.6107034,42.76036068,bilinear,FALSE,TRUE,-30.28,41.56194124,2.937473387,,,,,,
b5_hn_spd_p7,12-Jun,B5,1,7,HN,SPD,29.16,1.95,17,11.01639344,1050,6.754754098,t2,gibson,35.22469245,294.6529287,0.965180135,1.518079703,25.04470834,152.1264177,2.43661908,266.7072604,NA,4.851263609,0.464470808,14.04041259,NA,9.311036311,304.9976115,NA,713.077568,42.84813205,bilinear,FALSE,TRUE,-30.41,40.21368924,2.767753635,,,,,,
b5_hn_spd_p8,12-Jun,B5,1,8,HN,SPD,29.16,1.95,17,11.21311475,1050,6.508852459,t2,gibson,32.34587472,296.2387661,0.844676726,1.508354916,25.01515774,132.5064698,1.084861854,205.7309687,NA,2.354983063,0.174702796,12.13714453,NA,12.47136072,257.3912461,NA,711.2573485,42.78331185,bilinear,FALSE,TRUE,-31.72,42.30638401,2.34591107,,,,,,
b6_hn_fdd_p1,14-Jun,B6,3,1,HN,FDD,29.16,1.95,17,9.213114754,1050,9.410491803,t2,gibson,46.4371493,274.5127537,1.186857166,1.206237973,24.96765919,220.6556091,4.499111174,408.8416425,NA,5.458372014,0.654967741,16.83147005,NA,33.7961962,263.2824107,NA,708.6693606,42.68532449,bilinear,FALSE,TRUE,-30.24,42.85256549,3.897601596,,,,,,
