ID_trt,n_trt,drought,plant,DAD,FC
B3,LN,FDD,6,36,0.393442623
B3,LN,FDD,6,37,0.360655738
B3,LN,FDD,6,38,0.262295082
B3,LN,FDD,7,1,1
B3,LN,FDD,7,2,0.983606557
B3,LN,FDD,7,3,0.983606557
B3,LN,FDD,7,4,0.983606557
B3,LN,FDD,7,5,0.901639344
B3,LN,FDD,7,6,0.87704918
B3,LN,FDD,7,7,0.87704918
B3,LN,FDD,7,8,0.852459016
B3,LN,FDD,7,9,0.803278689
B3,LN,FDD,7,10,0.795081967
B3,LN,FDD,7,11,0.778688525
B3,LN,FDD,7,12,0.704918033
B3,LN,FDD,7,13,0.663934426
B3,LN,FDD,7,14,0.647540984
B3,LN,FDD,7,15,0.540983607
B3,LN,FDD,7,16,0.459016393
B3,LN,FDD,7,17,0.459016393
B3,LN,FDD,7,18,0.426229508
B3,LN,FDD,7,19,0.409836066
B3,LN,FDD,7,20,0.409836066
B3,LN,FDD,7,21,0.327868852
B3,LN,FDD,7,22,0.327868852
B3,LN,FDD,7,23,0.327868852
B3,LN,FDD,7,24,0.327868852
B3,LN,FDD,7,25,0.295081967
B3,LN,FDD,7,26,0.229508197
B3,LN,FDD,7,27,0.229508197
B3,LN,FDD,7,28,0.196721311
B3,LN,FDD,7,29,0.196721311
B3,LN,FDD,7,30,0.196721311
B3,LN,FDD,7,31,0.196721311
B3,LN,FDD,7,32,0.180327869
B3,LN,FDD,7,33,0.180327869
B3,LN,FDD,7,34,0.180327869
B3,LN,FDD,7,35,0.180327869
B3,LN,FDD,7,36,0.819672131
B3,LN,FDD,7,37,0.786885246
B3,LN,FDD,7,38,0.786885246
B3,LN,FDD,7,39,0.770491803
B3,LN,FDD,7,40,0.721311475
B3,LN,FDD,7,41,0.639344262
B3,LN,FDD,8,1,0.983606557
B3,LN,FDD,8,2,0.901639344
B3,LN,FDD,8,3,0.860655738
B3,LN,FDD,8,4,0.827868852
B3,LN,FDD,8,5,0.704918033
B3,LN,FDD,8,6,0.663934426
B3,LN,FDD,8,7,0.647540984
B3,LN,FDD,8,8,0.606557377
B3,LN,FDD,8,9,0.540983607
B3,LN,FDD,8,10,0.5
B3,LN,FDD,8,11,0.467213115
B3,LN,FDD,8,12,0.360655738
B3,LN,FDD,8,13,0.327868852
B3,LN,FDD,8,14,0.327868852
B3,LN,FDD,8,15,0.327868852
B3,LN,FDD,8,16,0.327868852
B3,LN,FDD,8,17,0.327868852
B3,LN,FDD,8,18,0.327868852
B3,LN,FDD,8,19,0.327868852
B3,LN,FDD,8,20,0.245901639
B3,LN,FDD,8,21,0.213114754
B3,LN,FDD,8,22,0.196721311
B3,LN,FDD,8,23,0.196721311
B3,LN,FDD,8,24,0.196721311
B3,LN,FDD,8,25,0.196721311
B3,LN,FDD,8,26,0.196721311
B3,LN,FDD,8,27,0.180327869
B3,LN,FDD,8,28,0.180327869
B3,LN,FDD,8,29,0.180327869
B3,LN,FDD,8,30,0.852459016
B3,LN,FDD,8,31,0.852459016
B3,LN,FDD,8,32,0.786885246
B3,LN,FDD,8,33,0.672131148
B3,LN,FDD,8,34,0.672131148
B3,LN,FDD,8,35,0.606557377
B3,LN,FDD,8,36,0.557377049
B3,LN,FDD,8,37,0.540983607
B3,LN,FDD,8,38,0.540983607
B3,LN,FDD,8,39,0.491803279
B3,LN,FDD,8,40,0.409836066
B3,LN,FDD,8,41,0.327868852
B5,HN,SPD,1,1,0.983606557
B5,HN,SPD,1,2,0.885245902
B5,HN,SPD,1,3,0.81147541
B5,HN,SPD,1,4,0.713114754
B5,HN,SPD,1,5,0.606557377
B5,HN,SPD,1,6,0.606557377
B5,HN,SPD,1,7,0.606557377
B5,HN,SPD,1,8,0.606557377
B5,HN,SPD,1,9,0.606557377
B5,HN,SPD,1,10,0.606557377
B5,HN,SPD,1,11,0.606557377
B5,HN,SPD,1,12,0.606557377
B5,HN,SPD,1,13,0.606557377
B5,HN,SPD,1,14,0.606557377
B5,HN,SPD,1,15,0.606557377
B5,HN,SPD,1,16,0.573770492
B5,HN,SPD,1,17,0.573770492
B5,HN,SPD,1,18,0.508196721
B5,HN,SPD,1,19,0.508196721
B5,HN,SPD,1,20,0.491803279
B5,HN,SPD,1,21,0.491803279
B5,HN,SPD,1,22,0.491803279
B5,HN,SPD,1,23,0.491803279
B5,HN,SPD,1,24,0.475409836
B5,HN,SPD,1,25,0.459016393
B5,HN,SPD,1,26,0.459016393
B5,HN,SPD,1,27,0.459016393
B5,HN,SPD,1,28,0.459016393
B5,HN,SPD,1,29,0.409836066
B5,HN,SPD,1,30,0.409836066
B5,HN,SPD,1,31,0.409836066
B5,HN,SPD,1,32,0.409836066
B5,HN,SPD,1,33,0.409836066
B5,HN,SPD,1,34,0.409836066
B5,HN,SPD,1,35,0.409836066
B5,HN,SPD,1,36,0.409836066
B5,HN,SPD,1,37,0.344262295
B5,HN,SPD,1,38,0.344262295
B5,HN,SPD,2,1,0.983606557
B5,HN,SPD,2,2,0.918032787
B5,HN,SPD,2,3,0.87704918
B5,HN,SPD,2,4,0.81147541
B5,HN,SPD,2,5,0.754098361
B5,HN,SPD,2,6,0.614754098
B5,HN,SPD,2,7,0.614754098
B5,HN,SPD,2,8,0.606557377
B5,HN,SPD,2,9,0.606557377
B5,HN,SPD,2,10,0.606557377
B5,HN,SPD,2,11,0.606557377
B5,HN,SPD,2,12,0.606557377
B5,HN,SPD,2,13,0.606557377
B5,HN,SPD,2,14,0.606557377
B5,HN,SPD,2,15,0.606557377
B5,HN,SPD,2,16,0.573770492
B5,HN,SPD,2,17,0.573770492
B5,HN,SPD,2,18,0.491803279
B5,HN,SPD,2,19,0.491803279
B5,HN,SPD,2,20,0.491803279
B5,HN,SPD,2,21,0.491803279
B5,HN,SPD,2,22,0.491803279
B5,HN,SPD,2,23,0.491803279
B5,HN,SPD,2,24,0.475409836
